"train_start","train_end","test_start","test_end","model_name","params","metric","threshold","metric_value"
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.BaggingClassifier","{""n_jobs"": -1, ""warm_start"": true, ""n_estimators"": 20}","accuracy",50,0.598457532051282
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.BaggingClassifier","{""n_jobs"": -1, ""warm_start"": true, ""n_estimators"": 20}","precision",50,0.3623798076923077
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.BaggingClassifier","{""n_jobs"": -1, ""warm_start"": true, ""n_estimators"": 20}","recall",50,0.686527514231499
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.BaggingClassifier","{""n_jobs"": -1, ""warm_start"": true, ""n_estimators"": 20}","f1",50,0.47436737904811854
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.BaggingClassifier","{""n_jobs"": -1, ""warm_start"": true, ""n_estimators"": 20}","roc_auc",50,0.6662579594275435
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.GradientBoostingClassifier","{""max_depth"": 3, ""n_estimators"": 100, ""min_samples_split"": 2}","accuracy",1,0.7364282852564102
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.GradientBoostingClassifier","{""max_depth"": 3, ""n_estimators"": 100, ""min_samples_split"": 2}","precision",1,0.5175879396984925
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.GradientBoostingClassifier","{""max_depth"": 3, ""n_estimators"": 100, ""min_samples_split"": 2}","recall",1,0.01954459203036053
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.GradientBoostingClassifier","{""max_depth"": 3, ""n_estimators"": 100, ""min_samples_split"": 2}","f1",1,0.03766684951545072
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.GradientBoostingClassifier","{""max_depth"": 3, ""n_estimators"": 100, ""min_samples_split"": 2}","roc_auc",1,0.6950250043700843
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.GradientBoostingClassifier","{""max_depth"": 3, ""n_estimators"": 100, ""min_samples_split"": 2}","accuracy",2,0.736328125
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.GradientBoostingClassifier","{""max_depth"": 3, ""n_estimators"": 100, ""min_samples_split"": 2}","precision",2,0.506265664160401
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.GradientBoostingClassifier","{""max_depth"": 3, ""n_estimators"": 100, ""min_samples_split"": 2}","recall",2,0.038330170777988615
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.GradientBoostingClassifier","{""max_depth"": 3, ""n_estimators"": 100, ""min_samples_split"": 2}","f1",2,0.07126477332862939
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.GradientBoostingClassifier","{""max_depth"": 3, ""n_estimators"": 100, ""min_samples_split"": 2}","roc_auc",2,0.6950250043700843
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.GradientBoostingClassifier","{""max_depth"": 3, ""n_estimators"": 100, ""min_samples_split"": 2}","accuracy",5,0.7366786858974359
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.GradientBoostingClassifier","{""max_depth"": 3, ""n_estimators"": 100, ""min_samples_split"": 2}","precision",5,0.5060120240480962
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.GradientBoostingClassifier","{""max_depth"": 3, ""n_estimators"": 100, ""min_samples_split"": 2}","recall",5,0.09582542694497154
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.GradientBoostingClassifier","{""max_depth"": 3, ""n_estimators"": 100, ""min_samples_split"": 2}","f1",5,0.16113592852584557
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.GradientBoostingClassifier","{""max_depth"": 3, ""n_estimators"": 100, ""min_samples_split"": 2}","roc_auc",5,0.6950250043700843
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.GradientBoostingClassifier","{""max_depth"": 3, ""n_estimators"": 100, ""min_samples_split"": 2}","accuracy",10,0.7302684294871795
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.GradientBoostingClassifier","{""max_depth"": 3, ""n_estimators"": 100, ""min_samples_split"": 2}","precision",10,0.4709418837675351
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.GradientBoostingClassifier","{""max_depth"": 3, ""n_estimators"": 100, ""min_samples_split"": 2}","recall",10,0.17836812144212524
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.GradientBoostingClassifier","{""max_depth"": 3, ""n_estimators"": 100, ""min_samples_split"": 2}","f1",10,0.25873933388384257
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.GradientBoostingClassifier","{""max_depth"": 3, ""n_estimators"": 100, ""min_samples_split"": 2}","roc_auc",10,0.6950250043700843
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.GradientBoostingClassifier","{""max_depth"": 3, ""n_estimators"": 100, ""min_samples_split"": 2}","accuracy",20,0.7153946314102564
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.GradientBoostingClassifier","{""max_depth"": 3, ""n_estimators"": 100, ""min_samples_split"": 2}","precision",20,0.4482844978712747
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.GradientBoostingClassifier","{""max_depth"": 3, ""n_estimators"": 100, ""min_samples_split"": 2}","recall",20,0.3396584440227704
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.GradientBoostingClassifier","{""max_depth"": 3, ""n_estimators"": 100, ""min_samples_split"": 2}","f1",20,0.3864838605203498
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.GradientBoostingClassifier","{""max_depth"": 3, ""n_estimators"": 100, ""min_samples_split"": 2}","roc_auc",20,0.6950250043700843
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.GradientBoostingClassifier","{""max_depth"": 3, ""n_estimators"": 100, ""min_samples_split"": 2}","accuracy",30,0.6870993589743589
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.GradientBoostingClassifier","{""max_depth"": 3, ""n_estimators"": 100, ""min_samples_split"": 2}","precision",30,0.41836393989983306
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.GradientBoostingClassifier","{""max_depth"": 3, ""n_estimators"": 100, ""min_samples_split"": 2}","recall",30,0.47552182163187856
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.GradientBoostingClassifier","{""max_depth"": 3, ""n_estimators"": 100, ""min_samples_split"": 2}","f1",30,0.44511545293072824
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.GradientBoostingClassifier","{""max_depth"": 3, ""n_estimators"": 100, ""min_samples_split"": 2}","roc_auc",30,0.6950250043700843
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.GradientBoostingClassifier","{""max_depth"": 3, ""n_estimators"": 100, ""min_samples_split"": 2}","accuracy",50,0.6133814102564102
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.GradientBoostingClassifier","{""max_depth"": 3, ""n_estimators"": 100, ""min_samples_split"": 2}","precision",50,0.3773036858974359
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.GradientBoostingClassifier","{""max_depth"": 3, ""n_estimators"": 100, ""min_samples_split"": 2}","recall",50,0.7148007590132828
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.GradientBoostingClassifier","{""max_depth"": 3, ""n_estimators"": 100, ""min_samples_split"": 2}","f1",50,0.493903238494821
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.GradientBoostingClassifier","{""max_depth"": 3, ""n_estimators"": 100, ""min_samples_split"": 2}","roc_auc",50,0.6950250043700843
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.GradientBoostingClassifier","{""max_depth"": 3, ""n_estimators"": 200, ""min_samples_split"": 2}","accuracy",1,0.7366286057692307
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.GradientBoostingClassifier","{""max_depth"": 3, ""n_estimators"": 200, ""min_samples_split"": 2}","precision",1,0.5276381909547738
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.GradientBoostingClassifier","{""max_depth"": 3, ""n_estimators"": 200, ""min_samples_split"": 2}","recall",1,0.019924098671726755
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.GradientBoostingClassifier","{""max_depth"": 3, ""n_estimators"": 200, ""min_samples_split"": 2}","f1",1,0.03839824465167307
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.GradientBoostingClassifier","{""max_depth"": 3, ""n_estimators"": 200, ""min_samples_split"": 2}","roc_auc",1,0.6966678914091502
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.GradientBoostingClassifier","{""max_depth"": 3, ""n_estimators"": 200, ""min_samples_split"": 2}","accuracy",2,0.737129407051282
